Key,en,es,ar,fr
KYC Information not submitted yet,KYC Information not submitted yet,Información KYC aún no enviada,لم يتم تقديم معلومات KYC بعد,Informations KYC non encore soumises
Are you sure to approve,Are you sure to approve,¿Estás seguro de aprobar?,هل أنت متأكد من الموافقة,Etes-vous sûr d'approuver
KYC information.,KYC information.,Información KYC.,"معلومات ""اعرف عميلك"".",Informations KYC.
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات دخول المستخدم,Journaux de connexion des utilisateurs
SL.,SL.,SL.,إس إل.,SL.
IP,IP,IP,الملكية الفكرية,IP
MAC,MAC,IMPERMEABLE,ماك,MAC
Location,Location,Ubicación,موقع,Emplacement
Browser | OS,Browser | OS,Navegador | SO,المتصفح | نظام التشغيل,Navigateur | Système d'exploitation
Login at,Login at,Inicia sesión en,تسجيل الدخول في,Connectez-vous à
USER,USER,USUARIO,مستخدم,UTILISATEUR
Send,Send,Enviar,يرسل,Envoyer
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة),Expéditeur de courrier (méthode)
Site Base Color,Site Base Color,Color base del sitio,اللون الأساسي للموقع,Couleur de base du site
Site Secondary Color,Site Secondary Color,Color secundario del sitio,اللون الثانوي للموقع,Couleur secondaire du site
Select Timezone,Select Timezone,Seleccionar zona horaria,حدد المنطقة الزمنية,Sélectionnez le fuseau horaire
Site Name,Site Name,Nombre del sitio,اسم الموقع,Nom du site
Site Title,Site Title,Título del sitio,عنوان الموقع,Titre du site
OTP Expiration,OTP Expiration,Vencimiento de la OTP,انتهاء صلاحية OTP,Expiration du OTP
Web Version,Web Version,Versión Web,نسخة الويب,Version Web
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط,Paramètres d'activation
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة),Logo (version légère)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (الإصدار الداكن),Logo (version sombre)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),الأيقونة المفضلة (الإصدار الخفيف),Icône de favori (version légère)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),الأيقونة المفضلة (الإصدار الداكن),Icône de favori (version sombre)
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO),Optimisation des moteurs de recherche (SEO)
Thumbnail Image:,Thumbnail Image:,Imagen en miniatura:,الصورة المصغرة:,Image miniature :
Social Title,Social Title,Título social,العنوان الاجتماعي,Titre social
Social Description,Social Description,Descripción social,الوصف الاجتماعي,Description sociale
401 - Unauthorized,401 - Unauthorized,401 - No autorizado,401 - غير مصرح به,401 - Non autorisé
Unauthorized...!,Unauthorized...!,No autorizado...!,غير مرخص...!,Non autorisé...!
403 - Forbidden,403 - Forbidden,403 - Prohibido,403 - ممنوع,403 - Interdit
Forbidden...!,Forbidden...!,Prohibido...!,مُحرَّم...!,Interdit...!
404 - Page Not Found,404 - Page Not Found,404 - Página no encontrada,404 - الصفحة غير موجودة,404 - Page introuvable
Page Not Found...!,Page Not Found...!,¡Página no encontrada...!,الصفحة غير موجودة...!,Page introuvable... !
419 - Page Expired,419 - Page Expired,419 - Página caducada,419 - انتهت صلاحية الصفحة,419 - Page expirée
Page Expired...!,Page Expired...!,¡Página caducada...!,انتهت الصفحة...!,Page expirée... !
500 - Server Error,500 - Server Error,500 - Error del servidor,500 - خطأ في الخادم,500 - Erreur du serveur
Server Error...!,Server Error...!,¡Error del servidor...!,خطأ في الخادم...!,Erreur de serveur... !
Public,Public,Público,عام,Publique
Login Now,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Connectez-vous maintenant
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.,Veuillez soumettre vos informations KYC avec des données valides.
Back to,Back to,Volver a,العودة إلى,Retour à
Copyright,Copyright,Derechos de autor,حقوق الطبع والنشر,Droit d'auteur
Y,Y,Y,ي,Oui
All Rights Reserved.,All Rights Reserved.,Reservados todos los derechos.,جميع الحقوق محفوظة.,Tous droits réservés.
Account Authorization,Account Authorization,Autorización de cuenta,ترخيص الحساب,Autorisation de compte
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Por favor revise su bandeja de entrada de correo para obtener el código de autorización.,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التفويض,Besoin de vérifier votre compte. Veuillez vérifier votre boîte de réception pour obtenir le code d'autorisation
Authorize,Authorize,Autorizar,يأذن,Autoriser
Password Forgot,Password Forgot,Contraseña olvidada,نسيت كلمة المرور,Mot de passe oublié
Enter your account email or username to verify,Enter your account email or username to verify,Ingrese el correo electrónico o nombre de usuario de su cuenta para verificar,أدخل البريد الإلكتروني لحسابك أو اسم المستخدم للتحقق,Entrez l'e-mail ou le nom d'utilisateur de votre compte pour vérifier
Send Code,Send Code,Enviar código,إرسال الرمز,Envoyer le code
Password Reset,Password Reset,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialisation du mot de passe
Reset your password,Reset your password,Restablece tu contraseña,إعادة تعيين كلمة المرور الخاصة بك,Réinitialisez votre mot de passe
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,Verifique su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso).,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة المرور لمرة واحدة).,Veuillez vérifier votre adresse e-mail pour obtenir l'OTP (mot de passe à usage unique).
Login Information,Login Information,Información de inicio de sesión,معلومات تسجيل الدخول,Informations de connexion
Please input your username and password and login to your account to get access to your dashboard.,Please input your username and password and login to your account to get access to your dashboard.,Ingrese su nombre de usuario y contraseña e inicie sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال اسم المستخدم وكلمة المرور وتسجيل الدخول إلى حسابك لتتمكن من الوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir votre nom d'utilisateur et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.
Or,Or,O,أو,Ou
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre tableau de bord.
I have read agreed with the,I have read agreed with the,He leído de acuerdo con el,لقد قرأت الاتفاق مع,J'ai lu d'accord avec le
"Terms Of Use , Privacy Policy & Warning","Terms Of Use , Privacy Policy & Warning","Términos de uso, política de privacidad y advertencia",شروط الاستخدام وسياسة الخصوصية والتحذير,"Conditions d'utilisation, politique de confidentialité et avertissement"
Register Now,Register Now,Regístrese ahora,سجل الآن,Inscrivez-vous maintenant
Already Have An Account,Already Have An Account,Ya tienes una cuenta,لديك حساب بالفعل,Vous avez déjà un compte
KYC Information,KYC Information,Información KYC,معلومات KYC,Informations KYC
Your KYC information is rejected.,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.,Vos informations KYC sont rejetées.
Verify KYC,Verify KYC,Verificar KYC,التحقق من KYC,Vérifier KYC
Please verify KYC information,Please verify KYC information,Por favor verifique la información KYC,يرجى التحقق من معلومات KYC,Veuillez vérifier les informations KYC
Get Support,Get Support,Obtenga soporte,احصل على الدعم,Obtenir de l'aide
Fill up information and verify your KYC.,Fill up information and verify your KYC.,Complete la información y verifique su KYC.,املأ المعلومات وتحقق من KYC الخاص بك.,Remplissez les informations et vérifiez votre KYC.
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي,Paramètres du profil
Change,Change,Cambiar,يتغير,Changement
Support Tickets,Support Tickets,Boletos de soporte,تذاكر الدعم,Billets d'assistance
Add New Ticket,Add New Ticket,Agregar nuevo boleto,إضافة تذكرة جديدة,Ajouter un nouveau billet
Search,Search,Buscar,يبحث,Recherche
"Transfer Money Charges
",Transfer Money Charges,Cargos por transferencia de dinero,رسوم تحويل الأموال,Frais de transfert d'argent
"Exchange Money Charges
","Exchange Money Charges
","Cargos por cambio de dinero
","رسوم صرف الأموال
","Frais de change
"
"Add Money Charge
",Add Money Charge,Agregar cargo de dinero,إضافة تهمة المال,Ajouter des frais d'argent
"Money Out Charges
",Money Out Charges,Cargos por retiro de dinero,رسوم صرف الأموال,Frais de retrait d'argent
Android App URL,Android App URL,URL de la aplicación de Android,عنوان URL لتطبيق Android,URL de l'application Android
iOS App URL,iOS App URL,URL de la aplicación iOS,عنوان URL لتطبيق iOS,URL de l'application iOS
From Address,From Address,De la dirección,من العنوان,De l'adresse
(Max 5),(Max 5),(máximo 5),(الحد الأقصى 5),(Maximum 5)
Announcement Category,Announcement Category,Categoría de anuncio,فئة الإعلان,Catégorie d'annonce
category?,category?,¿categoría?,فئة؟,catégorie?
Remove,Remove,Eliminar,يزيل,Retirer
Category added successfully!,Category added successfully!,¡Categoría agregada exitosamente!,تمت إضافة الفئة بنجاح!,Catégorie ajoutée avec succès !
Category updated successfully!,Category updated successfully!,¡Categoría actualizada exitosamente!,تم تحديث الفئة بنجاح!,Catégorie mise à jour avec succès !
Category status updated successfully!,Category status updated successfully!,¡El estado de la categoría se actualizó exitosamente!,تم تحديث حالة الفئة بنجاح!,Statut de la catégorie mis à jour avec succès !
Category deleted successfully!,Category deleted successfully!,¡Categoría eliminada exitosamente!,تم حذف الفئة بنجاح!,Catégorie supprimée avec succès !
Add Announcement,Add Announcement,Agregar anuncio,إضافة إعلان,Ajouter une annonce
Are you sure to delete this announcement?,Are you sure to delete this announcement?,¿Estás seguro de eliminar este anuncio?,هل أنت متأكد من حذف هذا الإعلان؟,Êtes-vous sûr de supprimer cette annonce ?
